sender,sentences
Visitor,السلام عليكم ورحمة الله وبركاته
Visitor,هل يوجد لديكم مكتب في قطر الدوحة؟
,_______________________________
Visitor,مسا الخير
Visitor,انا بكرا سفري الى سلطنة عمان
Visitor,هل تأجلت الطائرة
Gemma,مساء النور
Gemma,ممكن رقم الحجز
Gemma,يكون الاقلاع من دمشق الساعة 21:00 و الوصول الى مسقط الساعة 1:15 فجر الجمعة
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,اهلا و سهلا
Visitor,بالنسبة للحقيبة
Visitor,يحق لي ٣٠ كغ
Visitor,و حقيبة ظهر ٧ كغ ؟؟؟
Gemma,على الدرجة السياحية
Visitor,مسموح لكل مسافر 30 كغ على الميزان و 7 كغ حقيبة يد
Visitor,هل اللابتوب يحتسب مع الوزن
Gemma,و يمكنكم اصطحاب حقيبة اللابتوب مع حقيبة اليد و ليس بديلا عنها
Visitor,يعني حقيبة اللابتوب لا تحتسب ؟!!
Visitor,تدخل معكم الى الطائرة مع حقيبة اليد
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,اريد السفر من العراق بغداد الى دمشق سوريا شخصين اثنين
Gemma,الرحلات كل سبت و اثنين و أربعاء و خميس
Visitor,تاريخ الذهاب 19/03/2023
Visitor,والعودة 24/03/2023
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,أو للحجز و الاستفسار  يمكنكم التواصل مع وكيلنا في بغداد على الارقام / 009647707962651 / / 009647905143434 /  او زيارته على العنوان :
Visitor,# بغداد - شارع السعدون - مقابل فندق بغداد 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 16 /
,_______________________________
Visitor,سعر تكت من بيروت الى دمشق
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,أو للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في بيروت على الرقم / 0096181710701 / 
Visitor,أو على العنوان : 
Visitor,# بيروت - حدث - جاليري سمعان - الطابق الأرضي
Visitor,خلال أوقات الدوام من الاثنين الى الجمعة من الساعة / 9 / جتى الساعة / 16 /
,_______________________________
Visitor,السلام عليكم لو سمحت ممكن التفاصيل
Gemma,و عليكم السلام
Visitor,من ابو ظبي الى دمشق
Gemma,رحلاتنا من ابوظبي الى دمشق كل احد و الاياب كل سبت
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,ممكن الأسعار ذهاب فقط ل ام وطفلتين
Gemma,أو  للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,الاسعار عن طريق الرابط او من المكتب
Visitor,لو سمحت وين موجود المكتب في ابو ظبي
Gemma,وكيلنا العام في دبي و لكن يمكنكم الحجز من المكتب الانسب لكم
Visitor,تمام شكرا لك
Gemma,اهلا و سهلا
,_______________________________
Visitor,ما هي الرحلات المتوفرة من كوالالمبور الى مطار دمشق الدولي؟
Gemma,الرحلات غير متوفرة لدينا
Gemma,اهلا و سهلا
,_______________________________
Visitor,مسا الخير لو سمحتو حابب استفسر عن رحلة الذهاب والاياب بتندفع كاملة؟
Gemma,مساء النور
Visitor,عند اختيار رحلة ذهاب و اياب يكون الدفع عن الرحلة كاملة
Visitor,موجود حقلين حقل من مطار الى مطار وحقل اخر نفس العملية وكل حقل فيو سعر مختلف هاد سعر رحلة الذهاب وسعر رحلك الاياب صحيح؟
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة
,_______________________________
Gemma,لا يوجد لدينا اي رحلات من بيروت الى موسكو
Gemma,رحلاتنا فقط من و الى دمشق
Visitor,طيب، من دمشق إلى موسكو
Visitor,في كل ايام الاسبوع ؟
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Visitor,نعم، بالطبع
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,الذهاب في حوالي ٢٥ ايار والعودة نهاية حزيران، ممكن تعديل التواريخ للحصول على أدنى سعر
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,الاسعار و الحجز من المكتب او رابط الحجز
Visitor,للأسف ، على الموقع لا احصل على اي نتيجة بعد ادخال المعلومات،
Gemma,الرحلات من دمشق الى موسكو و بالعكس كل يوم اربعاء
Gemma,عليكم اختيار رحلات ضمن هذه الايام
Gemma,و ادخال بيانات المسافرين
Gemma,مع الانتباه الى ان الدفع في بلد الانطلاق للرحلة اي سوريا
Gemma,اذا تم الحجز عن طريق موقعنا
Gemma,او يمكننا تزويدكم بمواقع يكون الدفع فيها بالبطاقة الائتمانية
Visitor,بأي عملة؟
Gemma,عم طريق موقعنا يكون الحجز بالليرة للسوريين عندما يكون بلد الانطلاق للرحلة سوريا
Gemma,اهلا و سهلا
,_______________________________
Visitor,حابب استفسر عن اذا بدي اخجز طيران من الرياض الى دمشق كيف الطريقه
Gemma,رحلاتنا ترانزيت عن طريق الكويت
Gemma,و الحجز من مكاتب وكلائنا في الرياض
Gemma,او جدة او الدمام او القصيم
Visitor,ممكن ارقامهم
Visitor,او العنوان
Gemma,اي منطقة انسب لكم
Visitor,الرياض او جدة او الدمام او القصيم
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Visitor,يعطيك العافيه
Visitor,طيب سؤال تاني
Visitor,اذا كنت مواطن تركي بحتاج لفيزا
Gemma,هذه التفاصيل عليكم الاستفسار عنها من السفارة قبل الحجز
Visitor,تمام يعطيك العافيه
Visitor,هاد كلشي
Visitor,شكرا الك
Gemma,اهلا و سهلا
,_______________________________
Visitor,مسا الخير
Gemma,مساء النور
Gemma,كيف يمكننا المساعدة؟
Visitor,اخي عندي استفسار
Visitor,تمت طيران ذهاب اياب اديش تكلفه هل ايام
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,من الامارات لسوريا وغوده من سوريا لل امارات
Gemma,رحلاتنا متوفرة من أبوظبي الى دمشق و بالعكس
Visitor,أو من الشارقة الى دمشق او حلب او اللاذقية و بالعكس
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,من شارقه ل دمشق
Gemma,أو  للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
